tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,genre1,genre2,genre3,url,averageRating,numVotes
tt0081283,movie,Ordinary People,Ordinary People,0,1980,,124,Drama,Drama,,,https://www.imdb.com/title/tt0081283,7.7,46779
tt0081353,movie,Popeye,Popeye,0,1980,,114,"Adventure,Comedy,Family",Adventure,Comedy,Family,https://www.imdb.com/title/tt0081353,5.3,29406
tt0081398,movie,Raging Bull,Raging Bull,0,1980,,129,"Biography,Drama,Sport",Biography,Drama,Sport,https://www.imdb.com/title/tt0081398,8.2,320171
tt0081455,movie,Scanners,Scanners,0,1981,,103,"Horror,Sci-Fi,Thriller",Horror,Sci-Fi,Thriller,https://www.imdb.com/title/tt0081455,6.8,48210
tt0081505,movie,The Shining,The Shining,0,1980,,146,"Drama,Horror",Drama,Horror,,https://www.imdb.com/title/tt0081505,8.4,892853
tt0081534,movie,Somewhere in Time,Somewhere in Time,0,1980,,103,"Drama,Fantasy,Romance",Drama,Fantasy,Romance,https://www.imdb.com/title/tt0081534,7.2,26736
tt0081562,movie,Stir Crazy,Stir Crazy,0,1980,,111,"Comedy,Crime",Comedy,Crime,,https://www.imdb.com/title/tt0081562,6.8,25266
tt0081573,movie,Superman II,Superman II,0,1980,,127,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,https://www.imdb.com/title/tt0081573,6.8,97800
tt0081633,movie,Time Bandits,Time Bandits,0,1981,,116,"Adventure,Comedy,Fantasy",Adventure,Comedy,Fantasy,https://www.imdb.com/title/tt0081633,7.0,58356
tt0081912,tvSeries,Only Fools and Horses,Only Fools and Horses....,0,1981,2003,95,Comedy,Comedy,,,https://www.imdb.com/title/tt0081912,8.9,45879
tt0082010,movie,An American Werewolf in London,An American Werewolf in London,0,1981,,97,"Comedy,Horror",Comedy,Horror,,https://www.imdb.com/title/tt0082010,7.5,92387
tt0082031,movie,Arthur,Arthur,0,1981,,97,"Comedy,Romance",Comedy,Romance,,https://www.imdb.com/title/tt0082031,6.9,25739
tt0082085,movie,Blow Out,Blow Out,0,1981,,108,"Crime,Drama,Mystery",Crime,Drama,Mystery,https://www.imdb.com/title/tt0082085,7.4,44264
tt0082089,movie,Body Heat,Body Heat,0,1981,,113,"Crime,Drama,Romance",Crime,Drama,Romance,https://www.imdb.com/title/tt0082089,7.4,30777
tt0082096,movie,Das Boot,Das Boot,0,1981,,149,"Adventure,Drama,Thriller",Adventure,Drama,Thriller,https://www.imdb.com/title/tt0082096,8.3,230721
tt0082136,movie,The Cannonball Run,The Cannonball Run,0,1981,,95,"Action,Comedy,Sport",Action,Comedy,Sport,https://www.imdb.com/title/tt0082136,6.3,33071
tt0082158,movie,Chariots of Fire,Chariots of Fire,0,1981,,125,"Biography,Drama,Sport",Biography,Drama,Sport,https://www.imdb.com/title/tt0082158,7.2,54543
tt0082186,movie,Clash of the Titans,Clash of the Titans,0,1981,,118,"Action,Adventure,Family",Action,Adventure,Family,https://www.imdb.com/title/tt0082186,6.9,41055
tt0082198,movie,Conan the Barbarian,Conan the Barbarian,0,1982,,129,"Action,Adventure,Fantasy",Action,Adventure,Fantasy,https://www.imdb.com/title/tt0082198,6.9,136829
tt0082340,movie,Escape from New York,Escape from New York,0,1981,,99,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,https://www.imdb.com/title/tt0082340,7.2,125636
tt0082348,movie,Excalibur,Excalibur,0,1981,,140,"Adventure,Drama,Fantasy",Adventure,Drama,Fantasy,https://www.imdb.com/title/tt0082348,7.4,57043
tt0082398,movie,For Your Eyes Only,For Your Eyes Only,0,1981,,127,"Action,Adventure,Thriller",Action,Adventure,Thriller,https://www.imdb.com/title/tt0082398,6.7,91945
tt0082406,movie,The Fox and the Hound,The Fox and the Hound,0,1981,,83,"Adventure,Animation,Drama",Adventure,Animation,Drama,https://www.imdb.com/title/tt0082406,7.3,84423
tt0082418,movie,Friday the 13th Part 2,Friday the 13th Part 2,0,1981,,87,"Horror,Mystery,Thriller",Horror,Mystery,Thriller,https://www.imdb.com/title/tt0082418,6.1,59179
tt0082432,movie,Gallipoli,Gallipoli,0,1981,,110,"Adventure,Drama,History",Adventure,Drama,History,https://www.imdb.com/title/tt0082432,7.4,36712
tt0082495,movie,Halloween II,Halloween II,0,1981,,92,Horror,Horror,,,https://www.imdb.com/title/tt0082495,6.5,75031
tt0082509,movie,Heavy Metal,Heavy Metal,0,1981,,86,"Adventure,Animation,Fantasy",Adventure,Animation,Fantasy,https://www.imdb.com/title/tt0082509,6.7,31515
